                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0571,                 4.9706,                 1.3639,                0.47741,                0.11883,                0.08944,                0.05949,                 1.1625,                 3.6401,                 1.4884,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.2157,                 4.1876,                 1.4667,                0.43522,                0.16762,                0.12229,                0.07609,                 1.3391,                 3.3712,                  1.647,              0.0065321,              0.0065321,              0.0065321
                      3,                  1.356,                 4.1133,                 1.5767,                0.24144,                0.12593,                0.06132,                 0.0333,                 1.6129,                 3.7716,                 1.9392,              0.0096015,              0.0096015,              0.0096015
                      4,                 1.4359,                 4.0611,                 1.6501,                0.37501,                 0.1364,                0.09317,                0.05547,                 1.4758,                 3.4387,                 1.8219,               0.009406,               0.009406,               0.009406
                      5,                 1.3637,                 3.6105,                 1.5969,                0.32933,                0.18452,                0.13802,                0.08503,                 1.4052,                 3.1705,                 1.7495,               0.009208,               0.009208,               0.009208
                      6,                 1.3224,                 3.3327,                 1.5649,                 0.3883,                0.20593,                0.16279,                0.10147,                 1.3293,                 2.9524,                 1.6489,                0.00901,                0.00901,                0.00901
                      7,                 1.2856,                 3.1447,                  1.534,                0.34768,                0.24781,                0.19449,                0.12777,                 1.3065,                 2.8425,                 1.6361,               0.008812,               0.008812,               0.008812
                      8,                 1.2655,                 3.0079,                 1.5114,                0.44064,                0.24501,                0.22111,                 0.1462,                 1.2631,                 2.6809,                  1.601,               0.008614,               0.008614,               0.008614
                      9,                 1.2367,                 2.8896,                 1.4915,                 0.4584,                0.24958,                0.23345,                0.15381,                 1.2234,                 2.5964,                 1.5527,               0.008416,               0.008416,               0.008416
                     10,                  1.215,                 2.7835,                 1.4758,                0.39222,                0.28613,                  0.262,                0.17665,                 1.2156,                 2.4978,                 1.5321,               0.008218,               0.008218,               0.008218
                     11,                 1.1986,                 2.7096,                 1.4626,                0.34835,                0.32317,                0.27732,                0.18865,                 1.1885,                 2.3975,                 1.5177,                0.00802,                0.00802,                0.00802
                     12,                 1.1795,                 2.6229,                  1.447,                 0.4254,                0.32342,                0.29451,                0.20305,                 1.1722,                 2.3267,                 1.5068,               0.007822,               0.007822,               0.007822
                     13,                 1.1681,                 2.5571,                 1.4328,                0.39826,                0.32864,                0.30389,                0.20827,                 1.1633,                 2.2764,                 1.4865,               0.007624,               0.007624,               0.007624
                     14,                 1.1491,                 2.4878,                 1.4225,                0.42929,                0.35859,                0.32713,                0.22747,                 1.1364,                 2.1827,                 1.4636,               0.007426,               0.007426,               0.007426
                     15,                 1.1401,                 2.4341,                 1.4165,                0.40412,                0.35823,                0.32951,                0.22876,                 1.1221,                 2.1462,                 1.4525,               0.007228,               0.007228,               0.007228
                     16,                 1.1282,                 2.3773,                 1.4027,                0.38883,                0.36646,                0.33844,                0.23614,                 1.1211,                 2.1088,                 1.4477,                0.00703,                0.00703,                0.00703
                     17,                 1.1193,                 2.3277,                 1.3931,                0.46141,                0.36656,                0.36072,                0.25468,                 1.1002,                 2.0532,                 1.4361,               0.006832,               0.006832,               0.006832
                     18,                 1.1033,                 2.2728,                 1.3824,                0.40494,                0.39413,                0.36138,                0.25492,                 1.0897,                 2.0168,                   1.42,               0.006634,               0.006634,               0.006634
                     19,                 1.0891,                 2.2264,                 1.3714,                0.42233,                 0.4083,                0.37576,                0.26521,                 1.0846,                 1.9926,                 1.4092,               0.006436,               0.006436,               0.006436
                     20,                 1.0779,                 2.1926,                 1.3637,                0.44165,                0.38766,                0.37579,                0.26662,                 1.0792,                 1.9563,                  1.412,               0.006238,               0.006238,               0.006238
                     21,                 1.0699,                  2.152,                 1.3593,                0.45023,                0.40602,                0.39017,                0.27652,                 1.0617,                 1.9213,                 1.3988,                0.00604,                0.00604,                0.00604
                     22,                 1.0594,                 2.1099,                 1.3522,                0.43625,                 0.4191,                0.39708,                 0.2812,                 1.0636,                 1.9004,                 1.3994,               0.005842,               0.005842,               0.005842
                     23,                 1.0522,                 2.0627,                 1.3404,                0.44399,                0.42783,                0.40597,                   0.29,                 1.0558,                 1.8605,                 1.3867,               0.005644,               0.005644,               0.005644
                     24,                 1.0405,                 2.0284,                 1.3352,                0.48276,                0.41659,                0.40772,                 0.2906,                  1.045,                  1.849,                 1.3773,               0.005446,               0.005446,               0.005446
                     25,                 1.0316,                 1.9881,                 1.3263,                0.46586,                0.42157,                0.41171,                0.29597,                 1.0435,                 1.8402,                 1.3715,               0.005248,               0.005248,               0.005248
                     26,                 1.0249,                  1.967,                 1.3229,                0.45727,                0.41912,                0.41643,                0.29806,                 1.0331,                 1.8253,                 1.3646,                0.00505,                0.00505,                0.00505
                     27,                 1.0165,                 1.9227,                 1.3158,                0.46593,                0.43323,                0.41973,                 0.3014,                 1.0363,                  1.815,                 1.3689,               0.004852,               0.004852,               0.004852
